id,lat,lon,locality,month,year,sex,mat,ml,wgt,analysis_date,fullness,full_wgt,empty_wgt,content_wgt
CAPEXI_099,28.41985,112.52175,,,2016,F,5,16.5,0.1047,7/4/17,1,0.52,,
CAPEXI_100,28.41985,112.52175,,,2016,M,5,15.6,0.0737573,7/5/17,1,0.42,,
CAPEXI_101,28.41985,112.52175,,,2016,F,3,15.8,0.0587678,7/4/17,3,1.3,0.49,0.81
CAPEXI_102,28.41985,112.52175,,,2016,F,5,18,0.1187258,7/5/17,2,0.93,0.71,0.22
CAPEXI_103,28.41985,112.52175,,,2016,F,5,19.1,0.1387118,7/3/17,2,1.24,0.96,0.28
CAPEXI_104,28.41985,112.52175,,,2016,F,5,17.6,0.1087328,6/30/17,3,1.37,0.68,0.69
CAPEXI_105,28.41985,112.52175,,,2016,F,3,15.9,0.0687608,7/4/17,1,0.6,0.55,0.05
CAPEXI_106,28.41985,112.52175,,,2016,F,5,19.4,0.1537013,7/3/17,3,1.42,0.81,0.61
CAPEXI_107,28.41985,112.52175,,,2016,F,5,18.9,0.1337153,7/4/17,3,1.39,0.59,0.8
CAPEXI_108,28.41985,112.52175,,,2016,F,4,16.5,0.0787538,7/5/17,1,0.98,0.62,0.36
CAPEXI_109,28.41985,112.52175,,,2016,F,5,20.2,0.1487048,7/3/17,1,0.74,0.52,0.22
CAPEXI_110,28.41985,112.52175,,,2016,F,5,17,0.0937433,7/4/17,1,0.68,0.5,0.18
CAPEXI_111,28.41985,112.52175,,,2016,F,5,19.4,0.1437083,7/4/17,1,0.88,0.44,0.44
CAPEXI_112,28.41985,112.52175,,,2016,F,5,19.3,0.1437083,7/4/17,3,1.17,0.64,0.53
CAPEXI_113,28.41985,112.52175,,,2016,F,5,21.2,0.199,7/5/17,0,1,0.96,0.04
CAPEXI_115,28.41985,112.52175,,,2016,F,5,17,0.0887468,7/5/17,2,0.59,0.35,0.24
CAPEXI_116,28.41985,112.52175,,,2016,F,5,16.9,0.0937433,7/5/17,1,0.12,0.12,0
CAPEXI_117,28.41985,112.52175,,,2016,F,5,18.6,0.1237223,7/4/17,2,1.01,0.31,0.7
CAPEXI_118,28.41985,112.52175,,,2016,F,2,13.7,0.0537713,7/4/17,0,0.61,0.27,0.34
CAPEXI_119,27.412067,112.144933,,,2016,F,5,17.8,0.1087328,7/11/17,2,1.07,0.81,0.26
CAPEXI_120,27.412067,112.144933,,,2016,F,5,17.3,0.1037363,7/11/17,3,1.67,0.95,0.72
CAPEXI_121,27.412067,112.144933,,,2016,F,5,18,0.1287188,7/11/17,1,0.88,0.8,0.08
CAPEXI_122,27.412067,112.144933,,,2016,F,5,18.2,0.1237223,7/11/17,2,0.91,0.76,0.15
CAPEXI_123,27.412067,112.144933,,,2016,F,5,17.1,0.1137293,7/11/17,2,1,0.83,0.17
