Ref,Monthly #,Date,Locality,ML,Weight,SEX,Mat Stage,prey,rostral ,Otolith length1,Otolith length2,Otolith length3,Otolith length4,Otolith length5,Otolith length6,Otolith length7,Otolith length8,Otolith length9,Otolith length10,Otolith length11,Otolith length12,Otolith length13,Otolith length14,Otolith length15,Otolith length16,Otolith length17,Otolith length18,Otolith length19,Otolith length20,Otolith length21,Otolith length22,Otolith length23,Otolith length24,Otolith length25,Otolith length26,Otolith length27,Otolith length28,Otolith length29,Otolith length30,Otolith length31,Otolith length32,Otolith length33,Otolith length34,Otolith length35,Otolith length36
1159,,2/17/97,Guaymas,59.5,,M,IV,Benthosema,,1.8,1.9,1.9,1.9,2,2,1.9,1.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,,2/17/97,Guaymas,69.2,,H,III,Benthosema,,1.6,1.6,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,,2/19/97,Guaymas,53,,H,II,Benthosema,,1.6,1.6,1.6,1.6,1.7,2.2,1.7,1.8,1.8,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,,2/19/97,Guaymas,51.2,,M,III,Benthosema,,2.1,2.1,2.1,2.1,1.9,1.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,,2/19/97,Guaymas,56,,H,II,Benthosema,,2.1,2.1,2,2.2,1.9,1.9,2,2,1.9,2.2,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,,2/19/97,Guaymas,50.6,,H,II,Benthosema,,2,1.7,1.6,1.5,1.7,1.6,2,1.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,,2/19/97,Guaymas,47,,M,II,Benthosema,,2.1,2.2,1.8,2,2.1,2.1,2.1,2.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,,2/19/97,Guaymas,45.6,,H,II,Benthosema,,2,1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,,2/19/97,Guaymas,43,,H,II,Benthosema,,2,1.8,2.1,1.6,1.7,2.3,2.3,2.3,2.3,2.1,2.1,1.9,1.7,1.9,2.1,2.1,1.8,1.6,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,,2/19/97,Guaymas,53.8,,H,II,Benthosema,,1.9,1.7,1.7,1.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,2,3/11/97,Guaymas,56.6,5.375,M,IV,Benthosema,,1.8,2.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,4,3/11/97,Guaymas,58,6.1,H,II,Benthosema,,2.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
