"","cruise_int","Date_M","Lat_M","Lon_M","date","year","X","mean.sst","stdev.sst","n","satellite.date","requested.lon.min","requested.lon.max","requested.lat.min","requested.lat.max","requested.date","median.sst","mad.sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"62",1.1251,20051123,27.46630167,-112.26604882,2005-11-23,"2005",62,NA,NA,0,"2005-11-23 12:00:00",-112.36294167,-112.16294167,27.36461897,27.56461897,13110,NA,NA,2.47848281675372,1.46888905523909,29,"2005-11-23 12:00:00",-112.36294167,-112.16294167,27.36461897,27.56461897,13110,2.81200003623962,1.4470177046299
"63",1.1253,20051123,27.46787939,-112.24985821,2005-11-23,"2005",63,NA,NA,0,"2005-11-23 12:00:00",-112.34985821,-112.14985821,27.36787939,27.56787939,13110,NA,NA,2.33200004282925,1.43755698439465,36,"2005-11-23 12:00:00",-112.34985821,-112.14985821,27.36787939,27.56787939,13110,2.79200005531311,1.58786465867758
"64",1.1254,20051123,27.47206429,-112.24494554,2005-11-23,"2005",64,NA,NA,0,"2005-11-23 12:00:00",-112.34494554,-112.14494554,27.37206429,27.57206429,13110,NA,NA,2.14188465132163,1.50348087603309,26,"2005-11-23 12:00:00",-112.34494554,-112.14494554,27.37206429,27.57206429,13110,2.30150002241135,2.2038850251317
"65",1.1255,20051123,27.47838058,-112.23780795,2005-11-23,"2005",65,NA,NA,0,"2005-11-23 12:00:00",-112.33780795,-112.13780795,27.37838058,27.57838058,13110,NA,NA,3.7131562223658,9.23854580261185,32,"2005-11-23 12:00:00",-112.33780795,-112.13780795,27.37838058,27.57838058,13110,2.46949994564056,2.04450532364845
"66",1.1463,20051123,28.05226826,-112.01955402,2005-11-23,"2005",66,NA,NA,0,"2005-11-23 12:00:00",-112.11955402,-111.91955402,27.95226826,28.15226826,13110,NA,NA,1.50876923546625,0.659144165498571,13,"2005-11-23 12:00:00",-112.11955402,-111.91955402,27.95226826,28.15226826,13110,1.74199998378754,0.303933063626289
"67",1.1464,20051123,28.04760428,-112.02822914,2005-11-23,"2005",67,NA,NA,0,"2005-11-23 12:00:00",-112.11955402,-111.91955402,27.95226826,28.15226826,13110,NA,NA,1.50876923546625,0.659144165498571,13,"2005-11-23 12:00:00",-112.11955402,-111.91955402,27.95226826,28.15226826,13110,1.74199998378754,0.303933063626289
"68",1.1465,20051123,28.04304477,-112.0370804,2005-11-23,"2005",68,NA,NA,0,"2005-11-23 12:00:00",-112.1370804,-111.9370804,27.94304477,28.14304477,13110,NA,NA,1.81033333142598,0.105861566957725,6,"2005-11-23 12:00:00",-112.1370804,-111.9370804,27.94304477,28.14304477,13110,1.74199998378754,0
"69",1.1466,20051123,28.03849797,-112.04582563,2005-11-23,"2005",69,NA,NA,0,"2005-11-23 12:00:00",-112.14582563,-111.94582563,27.93849797,28.13849797,13110,NA,NA,1.74199998378754,NA,1,"2005-11-23 12:00:00",-112.14582563,-111.94582563,27.93849797,28.13849797,13110,1.74199998378754,0
"70",1.1467,20051123,28.03380986,-112.05454408,2005-11-23,"2005",70,NA,NA,0,"2005-11-23 12:00:00",-112.14582563,-111.94582563,27.93849797,28.13849797,13110,NA,NA,1.74199998378754,NA,1,"2005-11-23 12:00:00",-112.14582563,-111.94582563,27.93849797,28.13849797,13110,1.74199998378754,0
"71",1.1468,20051123,28.02914024,-112.06317143,2005-11-23,"2005",71,NA,NA,0,"2005-11-23 12:00:00",-112.16317143,-111.96317143,27.92914024,28.12914024,13110,NA,NA,NA,NA,0,"2005-11-23 12:00:00",-112.16317143,-111.96317143,27.92914024,28.12914024,13110,NA,NA
"72",1.1487,20051123,27.92483379,-112.21590451,2005-11-23,"2005",72,NA,NA,0,"2005-11-23 12:00:00",-112.31590451,-112.11590451,27.82483379,28.02483379,13110,NA,NA,NA,NA,0,"2005-11-23 12:00:00",-112.31590451,-112.11590451,27.82483379,28.02483379,13110,NA,NA
"73",1.1488,20051123,27.91943063,-112.2240445,2005-11-23,"2005",73,NA,NA,0,"2005-11-23 12:00:00",-112.3240445,-112.1240445,27.81943063,28.01943063,13110,NA,NA,NA,NA,0,"2005-11-23 12:00:00",-112.3240445,-112.1240445,27.81943063,28.01943063,13110,NA,NA
"74",1.1489,20051123,27.91420624,-112.2321782,2005-11-23,"2005",74,NA,NA,0,"2005-11-23 12:00:00",-112.3321782,-112.1321782,27.81420624,28.01420624,13110,NA,NA,NA,NA,0,"2005-11-23 12:00:00",-112.3321782,-112.1321782,27.81420624,28.01420624,13110,NA,NA
"75",1.149,20051123,27.90903219,-112.24048526,2005-11-23,"2005",75,NA,NA,0,"2005-11-23 12:00:00",-112.3321782,-112.1321782,27.81420624,28.01420624,13110,NA,NA,NA,NA,0,"2005-11-23 12:00:00",-112.3321782,-112.1321782,27.81420624,28.01420624,13110,NA,NA
