id,capture_lat,capture_lon,locality,capture_month,capture_year,sex,maturity state,mantle_length,weight,notes
CAPEXI_143,27.751717,111.7849,,,2016,F,5,18.9,0.1437083,
CAPEXI_145,27.751717,111.7849,,,2016,F,5,20,0.1586978,
CAPEXI_146,27.751717,111.7849,,,2016,F,5,18.5,0.1287188,
CAPEXI_147,27.751717,111.7849,,,2016,F,5,15.2,0.0537713,
CAPEXI_148,27.751717,111.7849,,,2016,F,5,20.5,0.1686908,
CAPEXI_149,27.751717,111.7849,,,2016,F,5,19.9,0.1437083,
CAPEXI_150,27.751717,111.7849,,,2016,F,5,18.1,0.1187258,
CAPEXI_151,27.751717,111.7849,,,2016,F,5,19,0.1437083,
CAPEXI_152,27.751717,111.7849,,,2016,F,4,15,0.0687608,
CAPEXI_153,27.751717,111.7849,,,2016,F,5,20.5,0.1586978,
CAPEXI_154,27.751717,111.7849,,,2016,F,5,19.7,0.1636943,
CAPEXI_155,27.751717,111.7849,,,2016,F,5,20.8,0.1886768,
CAPEXI_156,27.751717,111.7849,,,2016,F,3,16.8,0.0887468,
CAPEXI_157,27.751717,111.7849,,,2016,F,5,18.2,0.1337153,
CAPEXI_158,27.751717,111.7849,,,2016,F,5,21.9,0.2436383,
CAPEXI_159,27.751717,111.7849,,,2016,F,5,19.4,0.1337153,
CAPEXI_160,27.751717,111.7849,,,2016,F,5,18.6,0.1437083,
CAPEXI_161,27.751717,111.7849,,,2016,F,5,18.6,0.1387118,
CAPEXI_162,27.751717,111.7849,,,2016,F,5,19.6,0.1586978,
CAPEXI_163,27.454567,111.4892167,,,2016,F,5,17.4,0.1137293,
CAPEXI_164,27.454567,111.4892167,,,2016,F,5,18.4,0.1437083,
CAPEXI_165,27.454567,111.4892167,,,2016,F,5,16.7,0.0987398,
CAPEXI_166,27.454567,111.4892167,,,2016,F,5,17.1,0.1187258,
CAPEXI_167,27.454567,111.4892167,,,2016,F,4,16.1,0.0937433,
CAPEXI_168,27.454567,111.4892167,,,2016,F,3,16.2,0.0787538,
CAPEXI_169,27.454567,111.4892167,,,2016,F,3,15.9,0.0837503,
CAPEXI_170,27.454567,111.4892167,,,2016,F,5,17.6,0.1237223,
CAPEXI_171,27.454567,111.4892167,,,2016,F,3,15.2,0.0737573,
CAPEXI_172,27.454567,111.4892167,,,2016,M,4,14.9,0.0737573,
